               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065202,            0.099055,            0.057668,          0.00071046,           0.0083049,          0.00040323,           8.787e-05,            0.061131,             0.15012,            0.053118,            0.070148,           0.0033169,           0.0033169
                   1,            0.058155,            0.093452,            0.047124,              0.4289,             0.07015,            0.023302,            0.006957,            0.053879,             0.13905,            0.048216,            0.040126,           0.0066283,           0.0066283
                   2,            0.053327,            0.092419,             0.04258,             0.45112,             0.10978,            0.047572,            0.015665,            0.049626,             0.13206,            0.045769,            0.010082,           0.0099177,           0.0099177
                   3,            0.049541,            0.090075,            0.038827,             0.45254,             0.13779,            0.065125,            0.024112,            0.047633,             0.12584,            0.040041,            0.009901,            0.009901,            0.009901
                   4,            0.046924,            0.087656,            0.036658,              0.4971,             0.17456,             0.11045,            0.046211,            0.043055,             0.11937,            0.037131,            0.009901,            0.009901,            0.009901
                   5,            0.045559,             0.08603,            0.035437,             0.44966,             0.16104,             0.12187,              0.0483,            0.042666,              0.1211,            0.035732,            0.009868,            0.009868,            0.009868
                   6,            0.044559,            0.084181,            0.034033,             0.45194,             0.18243,             0.14083,            0.059778,            0.041865,             0.11411,             0.03481,            0.009835,            0.009835,            0.009835
                   7,            0.043748,             0.08361,            0.033146,             0.50175,             0.21003,             0.16461,            0.072291,            0.040136,             0.11104,            0.033626,            0.009802,            0.009802,            0.009802
                   8,            0.043177,            0.082846,            0.032151,             0.44874,             0.20193,             0.17092,            0.077699,            0.039977,             0.11212,             0.03347,            0.009769,            0.009769,            0.009769
                   9,            0.042496,             0.08196,             0.03149,             0.53578,             0.21511,             0.19457,            0.089413,            0.039219,             0.11005,            0.032916,            0.009736,            0.009736,            0.009736
                  10,            0.041987,            0.081033,            0.030821,             0.54198,             0.21479,             0.20272,            0.094895,            0.038957,                0.11,            0.031975,            0.009703,            0.009703,            0.009703
                  11,              0.0417,            0.081134,            0.030175,             0.56478,             0.22741,             0.21806,             0.10267,            0.038462,             0.10806,            0.031581,             0.00967,             0.00967,             0.00967
                  12,            0.041292,            0.081111,            0.029669,             0.56311,             0.23671,             0.22172,             0.10579,             0.03803,             0.10935,             0.03118,            0.009637,            0.009637,            0.009637
                  13,            0.040882,            0.079248,            0.029363,             0.54729,             0.24314,             0.24218,             0.11676,            0.037881,              0.1072,             0.03077,            0.009604,            0.009604,            0.009604
                  14,            0.040591,            0.080077,              0.0288,             0.35212,             0.25053,             0.24186,             0.11669,            0.037749,             0.10697,             0.03071,            0.009571,            0.009571,            0.009571
                  15,            0.040522,            0.079304,            0.028653,             0.33892,             0.26847,              0.2521,             0.12119,            0.037344,             0.10714,            0.031206,            0.009538,            0.009538,            0.009538
                  16,            0.040271,            0.079569,            0.028186,             0.34783,             0.26251,             0.26353,             0.13023,            0.037184,              0.1065,            0.030097,            0.009505,            0.009505,            0.009505
                  17,            0.039877,            0.079338,            0.027811,             0.35632,             0.29251,             0.27391,             0.13573,            0.036846,             0.10566,            0.029485,            0.009472,            0.009472,            0.009472
                  18,            0.039708,            0.078552,            0.027689,             0.34718,             0.30412,             0.28062,             0.13855,            0.036922,             0.10507,            0.029566,            0.009439,            0.009439,            0.009439
                  19,            0.039378,            0.078786,            0.027172,             0.35301,             0.30698,             0.28659,             0.14513,            0.036398,             0.10456,            0.029026,            0.009406,            0.009406,            0.009406
                  20,            0.039328,            0.077491,            0.026988,             0.35412,             0.30907,             0.28668,             0.14519,             0.03638,             0.10462,            0.028862,            0.009373,            0.009373,            0.009373
                  21,            0.039076,               0.077,            0.026732,              0.3507,             0.31429,             0.29534,             0.14936,            0.036014,             0.10433,            0.028558,             0.00934,             0.00934,             0.00934
                  22,            0.038903,            0.076874,            0.026438,             0.37037,             0.31834,               0.302,             0.15301,            0.036301,             0.10455,            0.028409,            0.009307,            0.009307,            0.009307
                  23,            0.038701,            0.075977,            0.026227,             0.38413,             0.31428,             0.30651,             0.15581,            0.035888,             0.10399,            0.028818,            0.009274,            0.009274,            0.009274
                  24,            0.038667,            0.076461,            0.025979,             0.37782,             0.32173,              0.3041,             0.15347,             0.03594,             0.10404,            0.028361,            0.009241,            0.009241,            0.009241
                  25,            0.038454,             0.07639,            0.025759,             0.38423,             0.32754,             0.31681,             0.16249,            0.035581,             0.10325,             0.02811,            0.009208,            0.009208,            0.009208
                  26,            0.038257,            0.075687,            0.025651,             0.38318,             0.33484,             0.31751,             0.16449,            0.035614,             0.10361,            0.027935,            0.009175,            0.009175,            0.009175
                  27,            0.038211,            0.076037,            0.025508,             0.39186,             0.34361,             0.32471,             0.16759,            0.035373,             0.10294,            0.028084,            0.009142,            0.009142,            0.009142
                  28,            0.038211,            0.075772,             0.02518,             0.40794,             0.33426,              0.3259,             0.16736,            0.035394,             0.10261,            0.027776,            0.009109,            0.009109,            0.009109
                  29,            0.038145,            0.076514,            0.025259,              0.3953,             0.35061,               0.331,             0.17305,            0.035173,             0.10253,            0.027454,            0.009076,            0.009076,            0.009076
                  30,            0.037913,            0.075661,            0.024983,             0.40788,             0.34947,             0.33389,             0.17656,            0.035131,             0.10211,            0.027323,            0.009043,            0.009043,            0.009043
